Category,Name/Brand,Domain/Niche,Public Email,Contact Type,Contact/Link,What to use for,Source URL
Software Products,Zoho Corp,Business software suite (SaaS),press@zohocorp.com,Media/analyst email,https://www.zoho.com/press.html,Media / analyst inquiries,https://www.zoho.com/press.html
Software Products,Postman,API platform / developer tools,info@postman.com,General & media email,https://www.postman.com/company/contact-us/,General / media questions,https://www.postman.com/company/contact-us/
Software Products,Razorpay,Payments/fintech platform,pr-storytellers@razorpay.com,PR email,https://razorpay.com/newsroom/contact-us/,PR / newsroom contact,https://razorpay.com/newsroom/contact-us/
Software Products,BrowserStack,Software testing platform,press@browserstack.com,Press email,https://www.browserstack.com/press,Press / media queries,https://www.browserstack.com/press
Software Products,Chargebee,Subscription billing / revenue management,media@chargebee.com,Press email,https://www.chargebee.com/press/,Press inquiries,https://www.chargebee.com/press/
Software Products,InMobi Advertising,Adtech / mobile advertising,pr@inmobi.com,Media queries email,https://advertising.inmobi.com/company/press,Press / media queries,https://advertising.inmobi.com/company/press
Software Products,MoEngage,Customer engagement / marketing automation,press@moengage.com,Media & press email,https://www.moengage.com/contact-us/,PR / media outreach,https://www.moengage.com/contact-us/
Software Products,WebEngage,Customer engagement / retention marketing,support@webengage.com,Support email (publicly referenced),https://webengage.com/contact-us/,Support / route requests,https://webengage.com/blog/new-updates-by-webengage-march-2025/
Software Products,Druva,Data security / backup & ransomware recovery,,Contact page (no generic email found on contact page),https://www.druva.com/about/contact-us,Sales/support/contact routing,https://www.druva.com/about/contact-us
Technology Creators,Hitesh Choudhary,"Programming education, developer tools",team@hiteshchoudhary.com,Website / YouTube channel,https://hiteshchoudhary.com/,Creator outreach via official site/socials,https://hiteshchoudhary.com/
Technology Creators,Kunal Kushwaha,"Open-source, DevRel, DevOps/cloud-native",contact@techwithkunal.com,Website contact/newsletter,https://www.techwithkunal.com/,Collabs via official site/socials,https://www.techwithkunal.com/
Technology Creators,CodeWithHarry,Programming tutorials (web/dev),,Contact page,https://www.codewithharry.com/contact,Collaboration inquiries via contact form,https://www.codewithharry.com/contact
Technology Creators,Love Babbar,"DSA, placements, software careers",,YouTube About page,https://www.youtube.com/@LoveBabbar/about,Business/collab contact route shown on channel,https://www.youtube.com/@LoveBabbar/about
Technology Creators,Akshay Saini (Namaste JavaScript),JavaScript/React education,,GitHub / LinkedIn,https://github.com/akshaymarch7,Collabs via official profile links,https://github.com/akshaymarch7
Technology Creators,Technical Guruji (Gaurav Chaudhary),Consumer tech reviews,,YouTube About page,https://www.youtube.com/c/TechnicalGuruji/about,Business enquiries route on channel,https://www.youtube.com/c/TechnicalGuruji/about
Technology Creators,TrakinTech,Tech news/reviews (Hindi),,About page,https://trak.in/stories/about/,Brand partnerships via published contact route,https://trak.in/stories/about/
Technology Creators,GeekyRanjit,Gadget reviews,,YouTube About page,https://www.youtube.com/c/geekyranjit/about,Advertising/business route shown on channel,https://www.youtube.com/c/geekyranjit/about
Technology Creators,Beebom (media brand),Consumer tech media,contact@beebom.com,Business enquiries email (brand),https://beebom.com/contact-us/,Advertising / business enquiries,https://www.instagram.com/beebomco/
Technology Creators,TechBurner (Shlok Srivastava),Consumer tech content,,YouTube channel,https://www.youtube.com/@TechBurner,Brand enquiries via channel contact options,https://www.youtube.com/@TechBurner
Travel,Bruised Passports,Travel guides (luxury/experiential),info@bruisedpassports.com,Contact page,https://www.bruisedpassports.com/contact-us,Collaboration inquiries via contact form,https://www.bruisedpassports.com/contact-us
Travel,Tanya Khanijow,"Travel vlogs, hidden gems",info@tanyakhanijow.com,Official website / socials,https://tanyakhanijow.com/,Creator outreach via site/socials,https://tanyakhanijow.com/
Travel,Larissa D'Sa,"Travel films, reels",,Instagram / YouTube,https://www.instagram.com/larissa_wlc/,Creator outreach via social profile,https://www.instagram.com/larissa_wlc/
Travel,Aakanksha Monga,Travel storytelling,,Social profiles (IG/YouTube),https://www.instagram.com/aakanksha.monga/,Creator outreach via social profile,https://www.instagram.com/aakanksha.monga/
Travel,Mumbiker Nikhil,"Travel vlogs, road trips",,YouTube channel,https://www.youtube.com/@MumbikerNikhil,Brand enquiries via channel contact options,https://www.youtube.com/@MumbikerNikhil
Travel,Shenaz Treasury,Travel + lifestyle,,Instagram,https://www.instagram.com/shenaztreasury/,Influencer outreach via social profile,https://www.instagram.com/shenaztreasury/
Travel,Nomadic Indian (Deepanshu Sangwan),International/offbeat travel,,YouTube channel,https://www.youtube.com/@NomadicIndian,Brand enquiries via channel contact options,https://www.youtube.com/@NomadicIndian
Travel,Mountain Trekker (Varun Vagish),"Budget travel, practical itineraries",,YouTube channel,https://www.youtube.com/@MountainTrekker,Brand enquiries via channel contact options,https://www.youtube.com/@MountainTrekker
Travel,Varun Aditya,Nature/wildlife travel photography,,Instagram,https://www.instagram.com/varun.aditya/,Influencer outreach via social profile,https://www.instagram.com/varun.aditya/
Travel,Anunay Sood,Travel photography & reels,,Instagram,https://www.instagram.com/anunaysood/,(Note: reported deceased Nov 2025),https://www.instagram.com/anunaysood/
Food,Ranveer Brar,"Chef, restaurants, recipes",contact@ranveerbrar.com,Contact form,https://ranveerbrar.com/contact/,PR/Brand queries via contact form,https://ranveerbrar.com/contact/
Food,Chef Kunal Kapur,"Chef, restaurants, recipes",,Contact form / Instagram,https://www.chefkunalkapur.com/contact-me/,Association/PR via contact form,https://www.chefkunalkapur.com/contact-me/
Food,Pooja Dhingra (Le15),Desserts/baking brand founder,,Instagram profile (business enquiry),https://www.instagram.com/poojadhingra/,Brand enquiries via Instagram profile contact,https://www.instagram.com/poojadhingra/
Food,Your Food Lab (Chef Sanjyot Keer),"Indian recipes, food content",,Social profile / page,https://www.facebook.com/yourfoodlab/,Brand enquiries via public page,https://www.facebook.com/yourfoodlab/
Food,Vikas Khanna,"Chef, restaurants, books",,Official website,https://vikaskhanna.com/,Official contact routing via website,https://vikaskhanna.com/
Food,Kunal Vijayakar,"Food critic, restaurant content",,Social profile,https://www.instagram.com/kunalvijayakar/,Brand enquiries via profile contact options,https://www.instagram.com/kunalvijayakar/
Food,FoodPharmer (Revant Himatsingka),Food labels / nutrition awareness,,Instagram,https://www.instagram.com/foodpharmer/,Campaign outreach via social profile,https://www.instagram.com/foodpharmer/
Food,Kabita's Kitchen,Home-style cooking,,YouTube channel,https://www.youtube.com/@Kabitaskitchen,Brand enquiries via channel contact options,https://www.youtube.com/@Kabitaskitchen
Food,Sanjeev Kapoor,"Chef, recipes, food media",,Official website,https://www.sanjeevkapoor.com/,Official contact routing via website,https://www.sanjeevkapoor.com/
Food,Cüraa by YFL (brand),Food products (chef-led),support@curaahome.com,Support email (brand),https://curaahome.com/contact-us,Support / brand inquiries,https://curaahome.com/contact-us
Digital Products,Aakash Gupta,"Product management, PM careers",,LinkedIn / Newsletter,https://www.aakashg.com/,Speak/collab outreach via LinkedIn,https://www.aakashg.com/
Digital Products,Shreyas Doshi,Product leadership,,X / Newsletter,https://shreyasdoshi.com/,Speaking/collab via website,https://shreyasdoshi.com/
Digital Products,Ravi Mehta,Product strategy,,Website,https://www.ravi-mehta.com/,Work inquiries via website,https://www.ravi-mehta.com/
Digital Products,Sahil Lavingia,"Product building, entrepreneurship",,Website,https://sahillavingia.com/,Creator outreach via website,https://sahillavingia.com/
Digital Products,Aishwarya Ashok,"AI products, SaaS building",,LinkedIn,https://aishashok.com/,Collab outreach via LinkedIn,https://aishashok.com/
Digital Products,Diksha Patro,Product management (B2B SaaS),,LinkedIn,https://in.linkedin.com/in/dikshapatrob,Collab outreach via LinkedIn,https://in.linkedin.com/in/dikshapatrob
Digital Products,Jahnavi Shah,Product strategy & careers,,LinkedIn,https://www.linkedin.com/in/jahnshah,Collab outreach via LinkedIn,https://www.linkedin.com/in/jahnshah
Digital Products,BrowserStack (Ankit Jain - leader),SaaS product scaling,press@browserstack.com,Press email (brand),https://www.browserstack.com/press,Press / official route,https://www.browserstack.com/press
Digital Products,Rohan Mishra (design),"UI/UX, product design",,Portfolio,https://www.behance.net/rohanmishra,Collab outreach via portfolio contact,https://www.behance.net/rohanmishra
Digital Products,Nancy (product design),Product/UX design,,LinkedIn,https://www.linkedin.com/,Find via LinkedIn (name search),https://www.linkedin.com/
Property/Real Estate,Snehil Yadav,Real estate (luxury / advisory content),contact@snehilyadav.com,Website,https://snehilyadav.com/,Brand/collab outreach via site/socials,https://snehilyadav.com/
Property/Real Estate,Gaurav Bhagat,Real estate sales coaching / consulting,sales@gauravbhagatacademy.com,Website,https://www.gauravbhagatacademy.com/,Business enquiries via official site,https://www.gauravbhagatacademy.com/
Property/Real Estate,Hridhay Mehraa,Real estate advisory content,,Social profile,https://www.instagram.com/hridhaymehraa/,Influencer outreach via profile contact options,https://www.instagram.com/hridhaymehraa/
Property/Real Estate,Pro Realtor Academy (Vikas D Goenka),Real estate training/coaching,contact@prorealtoracademy.com,Website,https://prorealtoracademy.com/,Business enquiries via site,https://prorealtoracademy.com/
Property/Real Estate,Ravi Kewalramani,Real estate content (India),,Instagram,https://www.instagram.com/ravikewalramani/,Campaign outreach via profile,https://www.instagram.com/ravikewalramani/
Property/Real Estate,RSLIVE India (channel),Real estate interviews/podcast,,YouTube channel,https://www.youtube.com/@rsliveindia,Brand enquiries via channel contact options,https://www.youtube.com/@rsliveindia
Property/Real Estate,Abhijit Sabbarwar Media (channel),Real estate interviews/content,,YouTube channel,https://www.youtube.com/@AbhijitSabbarwarMedia,Brand enquiries via channel contact options,https://www.youtube.com/@AbhijitSabbarwarMedia
Property/Real Estate,Solid Business Ideas (channel),Real estate business content,,YouTube channel,https://www.youtube.com/@SolidBusinessIdeas,Brand enquiries via channel contact options,https://www.youtube.com/@SolidBusinessIdeas
Property/Real Estate,Maninder Singh Mangat,Real estate content (India),,YouTube / social profile,https://www.youtube.com/results?search_query=Maninder+Singh+Mangat+real+estate,Find official profile and use platform contact options,https://www.youtube.com/results?search_query=Maninder+Singh+Mangat+real+estate
Property/Real Estate,Manjiit Singh (real estate strategist),Real estate strategy content,,YouTube search,https://www.youtube.com/results?search_query=Manjiit+Singh+real+estate,Find official channel; use About/contact,https://www.youtube.com/results?search_query=Manjiit+Singh+real+estate
